date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:47:47	656/656	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Jan%202017%2008:47:47%20GMT	http://69662.getiphone7.org/robots.txt		(from )
16:47:49	97590/97590	---MCZ	200	added ('OK')	text/html	date:Sun,%2029%20Jan%202017%2008:47:47%20GMT	http://69662.getiphone7.org/	C:/My%20Web%20Sites/getiphone7%20LP/69662.getiphone7.org/index.html	(from )
16:47:51	17678/17678	---MCZ	200	added ('OK')	text/css	date:Wed,%2022%20Jun%202016%2020:01:29%20GMT	https://cdnjs.cloudflare.com/ajax/libs/Swiper/3.2.6/css/swiper.css	C:/My%20Web%20Sites/getiphone7%20LP/cdnjs.cloudflare.com/ajax/libs/Swiper/3.2.6/css/swiper.css	(from http://69662.getiphone7.org/)
16:47:52	29936/29936	---M--	200	added ('OK')	image/jpeg	etag:%2296353449d9436a8fdd1feaf57a5e5b35%22	http://i.imgur.com/FCpfCRS.jpg	C:/My%20Web%20Sites/getiphone7%20LP/i.imgur.com/FCpfCRS.jpg	(from http://69662.getiphone7.org/)
16:47:52	388/388	---M--	200	added ('OK')	image/png	etag:%2298c432122e32bd198170b68822a64f04%22	http://i.imgur.com/UrP3BGC.png	C:/My%20Web%20Sites/getiphone7%20LP/i.imgur.com/UrP3BGC.png	(from http://69662.getiphone7.org/)
16:47:53	22192/22192	---M--	200	added ('OK')	image/png	etag:%22f48cecb1044e35130654fe5116872590%22	http://i.imgur.com/vcBvi5k.png	C:/My%20Web%20Sites/getiphone7%20LP/i.imgur.com/vcBvi5k.png	(from http://69662.getiphone7.org/)
16:47:54	28720/28720	---M--	200	added ('OK')	image/png	etag:%220e69a41defb304824078266bd75bc006%22	http://i.imgur.com/cGzidS3.png	C:/My%20Web%20Sites/getiphone7%20LP/i.imgur.com/cGzidS3.png	(from http://69662.getiphone7.org/)
16:47:55	26067/26067	---M--	200	added ('OK')	image/png	etag:%22875db0f4402c2c59659ee847844211fd%22	http://i.imgur.com/983Yrkn.png	C:/My%20Web%20Sites/getiphone7%20LP/i.imgur.com/983Yrkn.png	(from http://69662.getiphone7.org/)
16:47:57	30255/30255	---M--	200	added ('OK')	image/png	etag:%222556c5667ca66d4ff2122a6a4c0164c5%22	http://i.imgur.com/tvGEQG0.png	C:/My%20Web%20Sites/getiphone7%20LP/i.imgur.com/tvGEQG0.png	(from http://69662.getiphone7.org/)
16:47:58	31478/31478	---M--	200	added ('OK')	image/png	etag:%227b55647c5eb4cd92848123f5a2c024e9%22	http://i.imgur.com/q8IqDBI.png	C:/My%20Web%20Sites/getiphone7%20LP/i.imgur.com/q8IqDBI.png	(from http://69662.getiphone7.org/)
16:47:58	179273/179273	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2022%20Jun%202016%2020:01:29%20GMT	https://cdnjs.cloudflare.com/ajax/libs/Swiper/3.2.6/js/swiper.js	C:/My%20Web%20Sites/getiphone7%20LP/cdnjs.cloudflare.com/ajax/libs/Swiper/3.2.6/js/swiper.js	(from http://69662.getiphone7.org/)
